TYPE,YEAR,MONTH,HUNDRED_BLOCK
Theft From Auto Over $5000,2005,01,10XX BURRARD ST
Theft From Auto Over $5000,2005,01,4XX BLOCK CAMBIE ST
Theft From Auto Over $5000,2005,01,12XX HORNBY ST
Theft From Auto Over $5000,2005,01,14XX BLOCK LABURNUM ST
Theft From Auto Over $5000,2005,01,5XX W 16TH AVE
Theft From Auto Over $5000,2005,01,56XX STANLEY PARK DR
Theft From Auto Over $5000,2005,01,9XX BLOCK W BROADWAY AVE
Theft From Auto Over $5000,2005,01,17XX BLOCK E GEORGIA ST
Theft From Auto Over $5000,2005,01,12XX BLOCK HORNBY ST
Theft From Auto Over $5000,2005,01,35XX FINCH PL
Theft From Auto Over $5000,2005,01,W BROADWAY AVE / YUKON ST
Theft From Auto Over $5000,2005,01,14XX ANDERSON ST
Theft From Auto Over $5000,2005,01,11XX PACIFIC ST
Theft From Auto Over $5000,2005,01,9XX W CORDOVA ST
Theft From Auto Over $5000,2005,01,11XX BLOCK W HASTINGS ST
Theft From Auto Over $5000,2005,01,14XX BLOCK HOMER ST
Theft From Auto Over $5000,2005,01,26XX COMMERCIAL DR
Theft From Auto Over $5000,2005,01,QUEBEC ST / E BROADWAY AVE
Theft From Auto Over $5000,2005,01,10XX PARK DR
Theft From Auto Over $5000,2005,01,18XX NELSON ST
Theft From Auto Over $5000,2005,02,7XX W GEORGIA ST
Theft From Auto Over $5000,2005,02,13XX BLOCK BURRARD ST
Theft From Auto Over $5000,2005,02,37XX BLOCK W 11TH AVE
Theft From Auto Over $5000,2005,02,4XX SEYMOUR ST
Theft From Auto Over $5000,2005,02,1XX KINGSWAY AVE
Theft From Auto Over $5000,2005,02,11XX BLOCK ROBSON ST
Theft From Auto Over $5000,2005,02,30XX E 14TH AVE
Theft From Auto Over $5000,2005,02,82XX BLOCK BORDEN ST
Theft From Auto Over $5000,2005,02,8XX BURRARD ST
Theft From Auto Over $5000,2005,02,81XX CAMBIE ST
Theft From Auto Over $5000,2005,02,1XX BLOCK W GEORGIA ST
