TYPE,YEAR,MONTH,HUNDRED_BLOCK
Theft From Auto Under $5000,2012,09,10XX BURRARD ST
Theft From Auto Under $5000,2012,10,4XX KINGSWAY AVE
Theft From Auto Under $5000,2012,10,51XX ST GEORGE ST
Theft From Auto Under $5000,2012,10,8XX SEYMOUR ST
Theft From Auto Under $5000,2012,10,8XX SEYMOUR ST
Theft From Auto Under $5000,2012,10,E 50TH AVE / FRASER ST
Theft From Auto Under $5000,2012,10,31XX GRAVELEY ST
Theft From Auto Under $5000,2012,10,14XX E 10TH AVE
Theft From Auto Under $5000,2012,10,64XX CAMBIE ST
Theft From Auto Under $5000,2012,10,5XX SMITHE ST
Theft From Auto Under $5000,2012,10,14XX W 12TH AVE
Theft From Auto Under $5000,2012,10,14XX W 12TH AVE
Theft From Auto Under $5000,2012,10,56XX WESSEX ST
Theft From Auto Under $5000,2012,10,17XX KINGSWAY AVE
Theft From Auto Under $5000,2012,10,22XX W 5TH AVE
Theft From Auto Under $5000,2012,10,14XX W HASTINGS ST
Theft From Auto Under $5000,2012,10,1XX E 14TH AVE
Theft From Auto Under $5000,2012,10,48XX SLOCAN ST
Theft From Auto Under $5000,2012,10,33XX W 32ND AVE
Theft From Auto Under $5000,2012,10,8XX BURRARD ST
Theft From Auto Under $5000,2012,10,HEATHER ST / W 33RD AVE
Theft From Auto Under $5000,2012,10,35XX W 26TH AVE
Theft From Auto Under $5000,2012,10,7XX E 54TH AVE
Theft From Auto Under $5000,2012,10,E 8TH AVE / WOODLAND DR
Theft From Auto Under $5000,2012,10,SEYMOUR ST / W HASTINGS ST
Theft From Auto Under $5000,2012,10,25XX MAPLE ST
Theft From Auto Under $5000,2012,10,COLUMBIA ST / KEEFER ST
Theft From Auto Under $5000,2012,10,BOUNDARY RD / KINGSWAY AVE
Theft From Auto Under $5000,2012,10,12XX W 45TH AVE
Theft From Auto Under $5000,2012,10,35XX VANNESS AVE
Theft From Auto Under $5000,2012,10,18XX W BROADWAY AVE
Theft From Auto Under $5000,2012,10,10XX NICOLA ST
Theft From Auto Under $5000,2012,10,35XX W 26TH AVE
Theft From Auto Under $5000,2012,10,32XX KINGSWAY AVE
Theft From Auto Under $5000,2012,10,38XX SELKIRK ST
